[2026-01-21 16:23:01,374][wxai_v0@192.168.1.3][INFO] - Connecting to the arm controller's TCP server at 192.168.1.3:50001
[2026-01-21 16:23:01,374][wxai_v0@192.168.1.3][INFO] - Connecting to the arm controller's UDP server at 192.168.1.3:50000
[2026-01-21 16:23:01,375][wxai_v0@192.168.1.3][INFO] - Driver version: 'v1.8.8'
[2026-01-21 16:23:01,375][wxai_v0@192.168.1.3][INFO] - Controller firmware version: 'v1.8.4'
[2026-01-21 16:44:55,510][diffusion_policy.model.diffusion.conditional_unet1d][INFO] - number of parameters: 2.523793e+08
[2026-01-21 16:45:01,572][absl][INFO] - MUJOCO_GL=egl, attempting to import specified OpenGL backend.
[2026-01-21 16:45:01,576][OpenGL.acceleratesupport][INFO] - No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'
[2026-01-21 16:45:01,632][absl][INFO] - MuJoCo library version is: 3.3.7
[2026-01-21 16:45:01,776][wxai_v0@192.168.1.5][INFO] - Connecting to the arm controller's TCP server at 192.168.1.5:50001
[2026-01-21 16:45:01,776][wxai_v0@192.168.1.5][INFO] - Connecting to the arm controller's UDP server at 192.168.1.5:50000
[2026-01-21 16:45:01,777][wxai_v0@192.168.1.5][INFO] - Driver version: 'v1.8.8'
[2026-01-21 16:45:01,778][wxai_v0@192.168.1.5][INFO] - Controller firmware version: 'v1.8.4'
[2026-01-21 16:45:01,788][wxai_v0@192.168.1.3][INFO] - Connecting to the arm controller's TCP server at 192.168.1.3:50001
[2026-01-21 16:45:01,789][wxai_v0@192.168.1.3][INFO] - Connecting to the arm controller's UDP server at 192.168.1.3:50000
[2026-01-21 16:45:01,791][wxai_v0@192.168.1.3][INFO] - Driver version: 'v1.8.8'
[2026-01-21 16:45:01,791][wxai_v0@192.168.1.3][INFO] - Controller firmware version: 'v1.8.4'
